"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"171","AllData_RUN2_ANN","ANN","RUN2","AllData","Elevation","rand1",0.147244
"172","AllData_RUN2_ANN","ANN","RUN2","AllData","Slope","rand1",0.510709
"173","AllData_RUN2_ANN","ANN","RUN2","AllData","Aspect","rand2",0.038889
"174","AllData_RUN2_ANN","ANN","RUN2","AllData","Average_snow","rand2",0.54149
"175","AllData_RUN2_ANN","ANN","RUN2","AllData","Elevation","rand2",0.151385
"176","AllData_RUN2_ANN","ANN","RUN2","AllData","Slope","rand2",0.514101
"177","AllData_RUN2_ANN","ANN","RUN2","AllData","Aspect","rand3",0.037874
"178","AllData_RUN2_ANN","ANN","RUN2","AllData","Average_snow","rand3",0.548976
"179","AllData_RUN2_ANN","ANN","RUN2","AllData","Elevation","rand3",0.146366
"180","AllData_RUN2_ANN","ANN","RUN2","AllData","Slope","rand3",0.516619
"181","AllData_RUN2_SRE","SRE","RUN2","AllData","Aspect","rand1",0.320667
"182","AllData_RUN2_SRE","SRE","RUN2","AllData","Average_snow","rand1",0.022835
"183","AllData_RUN2_SRE","SRE","RUN2","AllData","Elevation","rand1",0.475274
"184","AllData_RUN2_SRE","SRE","RUN2","AllData","Slope","rand1",0.175532
"185","AllData_RUN2_SRE","SRE","RUN2","AllData","Aspect","rand2",0.324281
"186","AllData_RUN2_SRE","SRE","RUN2","AllData","Average_snow","rand2",0.021767
"187","AllData_RUN2_SRE","SRE","RUN2","AllData","Elevation","rand2",0.478382
"188","AllData_RUN2_SRE","SRE","RUN2","AllData","Slope","rand2",0.17412
"189","AllData_RUN2_SRE","SRE","RUN2","AllData","Aspect","rand3",0.325743
"190","AllData_RUN2_SRE","SRE","RUN2","AllData","Average_snow","rand3",0.021767
"191","AllData_RUN2_SRE","SRE","RUN2","AllData","Elevation","rand3",0.477696
"192","AllData_RUN2_SRE","SRE","RUN2","AllData","Slope","rand3",0.181518
"193","AllData_RUN2_FDA","FDA","RUN2","AllData","Aspect","rand1",0.0100440000000001
"194","AllData_RUN2_FDA","FDA","RUN2","AllData","Average_snow","rand1",0.856633
"195","AllData_RUN2_FDA","FDA","RUN2","AllData","Elevation","rand1",0.066723
"196","AllData_RUN2_FDA","FDA","RUN2","AllData","Slope","rand1",0.126429
"197","AllData_RUN2_FDA","FDA","RUN2","AllData","Aspect","rand2",0.01022
"198","AllData_RUN2_FDA","FDA","RUN2","AllData","Average_snow","rand2",0.852205
"199","AllData_RUN2_FDA","FDA","RUN2","AllData","Elevation","rand2",0.065174
"200","AllData_RUN2_FDA","FDA","RUN2","AllData","Slope","rand2",0.127041
"201","AllData_RUN2_FDA","FDA","RUN2","AllData","Aspect","rand3",0.010562
"202","AllData_RUN2_FDA","FDA","RUN2","AllData","Average_snow","rand3",0.836382
"203","AllData_RUN2_FDA","FDA","RUN2","AllData","Elevation","rand3",0.066645
"204","AllData_RUN2_FDA","FDA","RUN2","AllData","Slope","rand3",0.130663
"205","AllData_RUN2_MARS","MARS","RUN2","AllData","Aspect","rand1",0.018971
"206","AllData_RUN2_MARS","MARS","RUN2","AllData","Average_snow","rand1",0.559639
"207","AllData_RUN2_MARS","MARS","RUN2","AllData","Elevation","rand1",0.127476
"208","AllData_RUN2_MARS","MARS","RUN2","AllData","Slope","rand1",0.331579
"209","AllData_RUN2_MARS","MARS","RUN2","AllData","Aspect","rand2",0.019652
"210","AllData_RUN2_MARS","MARS","RUN2","AllData","Average_snow","rand2",0.566974
"211","AllData_RUN2_MARS","MARS","RUN2","AllData","Elevation","rand2",0.12857
"212","AllData_RUN2_MARS","MARS","RUN2","AllData","Slope","rand2",0.334873
"213","AllData_RUN2_MARS","MARS","RUN2","AllData","Aspect","rand3",0.0189820000000001
"214","AllData_RUN2_MARS","MARS","RUN2","AllData","Average_snow","rand3",0.567734
"215","AllData_RUN2_MARS","MARS","RUN2","AllData","Elevation","rand3",0.125643
"216","AllData_RUN2_MARS","MARS","RUN2","AllData","Slope","rand3",0.328633
"217","AllData_RUN2_RF","RF","RUN2","AllData","Aspect","rand1",0.141405
"218","AllData_RUN2_RF","RF","RUN2","AllData","Average_snow","rand1",0.718717
"219","AllData_RUN2_RF","RF","RUN2","AllData","Elevation","rand1",0.192491
"220","AllData_RUN2_RF","RF","RUN2","AllData","Slope","rand1",0.331214
"221","AllData_RUN2_RF","RF","RUN2","AllData","Aspect","rand2",0.145763
"222","AllData_RUN2_RF","RF","RUN2","AllData","Average_snow","rand2",0.698048
"223","AllData_RUN2_RF","RF","RUN2","AllData","Elevation","rand2",0.197375
"224","AllData_RUN2_RF","RF","RUN2","AllData","Slope","rand2",0.323468
"225","AllData_RUN2_RF","RF","RUN2","AllData","Aspect","rand3",0.138155
"226","AllData_RUN2_RF","RF","RUN2","AllData","Average_snow","rand3",0.708189
"227","AllData_RUN2_RF","RF","RUN2","AllData","Elevation","rand3",0.194723
"228","AllData_RUN2_RF","RF","RUN2","AllData","Slope","rand3",0.330395
"229","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Aspect","rand1",0.020607
"230","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Average_snow","rand1",0.666009
"231","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Elevation","rand1",0.073661
"232","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Slope","rand1",0.296387
"233","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Aspect","rand2",0.020765
"234","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Average_snow","rand2",0.661892
"235","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Elevation","rand2",0.071371
"236","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Slope","rand2",0.295951
"237","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Aspect","rand3",0.021089
"238","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Average_snow","rand3",0.655825
"239","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Elevation","rand3",0.072817
"240","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Slope","rand3",0.303875
