species,long_degrees,lat_degrees
mat,163.015360885494,-77.611528493116
mat,163.287452070543,-77.6104852055606
mat,163.013747551724,-77.6117091698298
mat,163.017008085644,-77.611766909864
mat,163.217025751158,-77.6111228549175
mat,163.229718313269,-77.6110659502757
mat,163.336786750516,-77.6105624153813
mat,163.220124320373,-77.6111788937845
mat,163.093195205026,-77.6117518374644
mat,163.017850094559,-77.6121131285819
mat,163.092556385898,-77.611894142149
mat,163.024862538932,-77.6122615637433
mat,163.023888878916,-77.6123001542597
mat,163.334224144776,-77.6109592936377
mat,163.02584759626,-77.6123626703894
mat,163.02682981583,-77.6124288483319
mat,163.074027486691,-77.6122471849242
mat,163.016741929742,-77.61250155299
mat,163.022115655384,-77.6125164161777
mat,163.028137553176,-77.6124937966671
mat,163.029116935066,-77.6125250412441
mat,163.027009693336,-77.6126377868132
mat,163.028642966117,-77.6127015076114
mat,163.034502184988,-77.612679361066
mat,163.088701988143,-77.6125034674965
mat,163.032392096562,-77.6127572231208
mat,163.288224622609,-77.6116694840332
mat,163.027677851705,-77.6128448870366
mat,163.02995646593,-77.6128362974936
mat,163.031098637426,-77.6128669206937
mat,163.028662977399,-77.6129459835247
mat,163.026061674451,-77.6129907114095
mat,163.2327535376,-77.6121353407641
mat,163.031761140456,-77.6130041607129
mat,163.036969456545,-77.6129844216057
mat,163.035995777722,-77.613023055312
mat,163.029813741757,-77.6130813874937
mat,163.033234595588,-77.6131033943823
mat,163.038283075212,-77.6131191714189
mat,163.040724492941,-77.6131098727518
mat,163.047560443314,-77.6130837203121
mat,163.048537005328,-77.6130799702737
mat,163.039425292691,-77.613149759776
mat,163.322441311369,-77.6119250788784
mat,163.23359122405,-77.6123761232347
mat,163.031618449571,-77.6132492516586
mat,163.034548186643,-77.6132381621705
mat,163.041712639462,-77.6132458471446
mat,163.035530520438,-77.6133043088045
mat,163.030813227367,-77.6133571018174
mat,163.032929167775,-77.6133491021387
mat,163.043346065754,-77.613309479962
mat,163.033908628226,-77.6133803295234
mat,163.032123950422,-77.6134569561646
mat,163.034890969767,-77.6134464784596
mat,163.044819648123,-77.6134086510933
mat,163.049051525596,-77.6133924181844
mat,163.036684272802,-77.6134746088686
mat,163.052635261968,-77.6134135562786
mat,163.039291414963,-77.6134996297867
mat,163.043851762839,-77.6135171627458
mat,163.050199631634,-77.6134928112866
mat,163.040762095048,-77.6135638978036
mat,163.038489128837,-77.6136424276093
mat,163.037027097782,-77.6136829224775
mat,163.041747382331,-77.6136649470694
mat,163.035727826559,-77.6137227919039
mat,163.054608950754,-77.6136504903907
mat,163.040288250446,-77.6137403843984
mat,163.276126294812,-77.612774494059
mat,163.043874972552,-77.6137965625171
