,full.name,PA,run,algo,expl.var,rand,var.imp
93,blackmat_allData_RUN2_RF,allData,RUN2,RF,Elevation,1,0.021861
94,blackmat_allData_RUN2_RF,allData,RUN2,RF,Slope,1,0.032506
95,blackmat_allData_RUN2_RF,allData,RUN2,RF,Aspect,1,0.058725
96,blackmat_allData_RUN2_RF,allData,RUN2,RF,Average_GCW,2,0.158795
97,blackmat_allData_RUN2_RF,allData,RUN2,RF,Average_snow,2,0.756651
98,blackmat_allData_RUN2_RF,allData,RUN2,RF,Elevation,2,0.02169
99,blackmat_allData_RUN2_RF,allData,RUN2,RF,Slope,2,0.033553
100,blackmat_allData_RUN2_RF,allData,RUN2,RF,Aspect,2,0.059846
101,blackmat_allData_RUN2_RF,allData,RUN2,RF,Average_GCW,3,0.152371
102,blackmat_allData_RUN2_RF,allData,RUN2,RF,Average_snow,3,0.74331
103,blackmat_allData_RUN2_RF,allData,RUN2,RF,Elevation,3,0.019518
104,blackmat_allData_RUN2_RF,allData,RUN2,RF,Slope,3,0.032109
105,blackmat_allData_RUN2_RF,allData,RUN2,RF,Aspect,3,0.057382
106,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Average_GCW,1,0.199497
107,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Average_snow,1,0.724898
108,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Elevation,1,0.009192
109,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Slope,1,0.014567
110,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Aspect,1,0.064602
111,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Average_GCW,2,0.200349
112,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Average_snow,2,0.753007
113,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Elevation,2,0.009541
114,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Slope,2,0.013954
115,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Aspect,2,0.067046
116,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Average_GCW,3,0.19232
117,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Average_snow,3,0.698669
118,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Elevation,3,0.008921
119,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Slope,3,0.014578
120,blackmat_allData_RUN2_MAXNET,allData,RUN2,MAXNET,Aspect,3,0.070647
121,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Average_GCW,1,0.381774
122,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Average_snow,1,0.464858
123,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Elevation,1,0.046985
124,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Slope,1,0.072323
125,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Aspect,1,0.175216
126,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Average_GCW,2,0.379658
127,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Average_snow,2,0.463122
128,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Elevation,2,0.048755
129,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Slope,2,0.071433
130,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Aspect,2,0.165213
131,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Average_GCW,3,0.376854
132,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Average_snow,3,0.463482
133,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Elevation,3,0.045974
134,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Slope,3,0.070147
135,blackmat_allData_RUN3_GAM,allData,RUN3,GAM,Aspect,3,0.170627
136,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Average_GCW,1,0.461135
137,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Average_snow,1,0.488598
138,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Elevation,1,0.016033
139,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Slope,1,0.019032
140,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Aspect,1,0.034934
141,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Average_GCW,2,0.451467
142,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Average_snow,2,0.486458
143,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Elevation,2,0.015724
144,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Slope,2,0.017389
145,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Aspect,2,0.035812
146,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Average_GCW,3,0.441956
147,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Average_snow,3,0.500339
148,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Elevation,3,0.015261
149,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Slope,3,0.017638
150,blackmat_allData_RUN3_GBM,allData,RUN3,GBM,Aspect,3,0.034238
151,blackmat_allData_RUN3_RF,allData,RUN3,RF,Average_GCW,1,0.160416
152,blackmat_allData_RUN3_RF,allData,RUN3,RF,Average_snow,1,0.723283
153,blackmat_allData_RUN3_RF,allData,RUN3,RF,Elevation,1,0.02764
154,blackmat_allData_RUN3_RF,allData,RUN3,RF,Slope,1,0.029829
155,blackmat_allData_RUN3_RF,allData,RUN3,RF,Aspect,1,0.037404
156,blackmat_allData_RUN3_RF,allData,RUN3,RF,Average_GCW,2,0.160715
157,blackmat_allData_RUN3_RF,allData,RUN3,RF,Average_snow,2,0.726055
158,blackmat_allData_RUN3_RF,allData,RUN3,RF,Elevation,2,0.027392
159,blackmat_allData_RUN3_RF,allData,RUN3,RF,Slope,2,0.030357
160,blackmat_allData_RUN3_RF,allData,RUN3,RF,Aspect,2,0.04051
161,blackmat_allData_RUN3_RF,allData,RUN3,RF,Average_GCW,3,0.165899
162,blackmat_allData_RUN3_RF,allData,RUN3,RF,Average_snow,3,0.727411
163,blackmat_allData_RUN3_RF,allData,RUN3,RF,Elevation,3,0.026647
164,blackmat_allData_RUN3_RF,allData,RUN3,RF,Slope,3,0.028916
165,blackmat_allData_RUN3_RF,allData,RUN3,RF,Aspect,3,0.039372
166,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Average_GCW,1,0.291788
167,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Average_snow,1,0.632945
168,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Elevation,1,0.012421
169,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Slope,1,0.012246
170,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Aspect,1,0.039055
171,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Average_GCW,2,0.295427
172,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Average_snow,2,0.641325
173,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Elevation,2,0.012451
174,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Slope,2,0.012564
175,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Aspect,2,0.038412
