"","species","long_degrees","lat_degrees","presence"
"1724","mat",163.243897442129,-77.6441233046239,0
"1725","mat",163.12626249741,-77.6010664045422,0
"1726","mat",163.270435449852,-77.6386207871422,0
"1727","mat",163.305332295189,-77.6102255564614,0
"1728","mat",163.147330972724,-77.6340990561132,0
"1729","mat",163.341643299807,-77.611831346696,0
"1730","mat",163.173150591034,-77.5875575089175,0
"1731","mat",163.050951173921,-77.645840810554,0
"1732","mat",163.244470155631,-77.5874156650569,0
"1733","mat",163.113089876223,-77.6029372112981,0
"1734","mat",163.26454743852,-77.6012636986298,0
"1735","mat",163.246530993202,-77.616440059532,0
"1736","mat",163.168054466566,-77.597431766076,0
"1737","mat",163.162553101846,-77.5889305681366,0
"1738","mat",163.110185725434,-77.6068969057545,0
"1739","mat",163.096274921706,-77.5985334393554,0
"1740","mat",163.163107851553,-77.6002129713751,0
"1741","mat",163.244840923774,-77.6141767747755,0
"1742","mat",163.037235552782,-77.6063455723519,0
"1743","mat",163.083832468866,-77.650428983172,0
"1744","mat",163.108658753898,-77.6541726118163,0
"1745","mat",163.231582545875,-77.5885573304632,0
"1746","mat",163.26088552078,-77.6231522285356,0
"1747","mat",163.134828908491,-77.6401254861376,0
"1748","mat",163.072851623022,-77.6289863414283,0
"1749","mat",163.249522403478,-77.6121289517226,0
"1750","mat",163.203641655671,-77.5954601750142,0
"1751","mat",163.295087828006,-77.634032944635,0
"1752","mat",163.232719579526,-77.5885521870009,0
"1753","mat",163.145990348999,-77.6408475673723,0
"1754","mat",163.237517640298,-77.612567976252,0
"1755","mat",163.062097059367,-77.6097784657217,0
"1756","mat",163.147315558936,-77.6267972357625,0
"1757","mat",163.154569030559,-77.5975590943185,0
"1758","mat",163.118654403871,-77.6014820300842,0
"1759","mat",163.30850481266,-77.5937889284469,0
"1760","mat",163.347699240505,-77.607573793754,0
"1761","mat",163.054647045218,-77.6470842954452,0
"1762","mat",163.201066557252,-77.6281034976487,0
"1763","mat",163.324369736585,-77.6302240050775,0
"1764","mat",163.286856511502,-77.6189781806847,0
"1765","mat",163.237618165836,-77.6383869519941,0
"1766","mat",163.319895343007,-77.6093868300702,0
"1767","mat",163.28175885085,-77.623299643102,0
"1768","mat",163.242956733453,-77.6296980113061,0
"1769","mat",163.033317551977,-77.637872686586,0
"1770","mat",163.177108254254,-77.6246790602611,0
"1771","mat",163.037230225448,-77.6141712545878,0
"1772","mat",163.072541844102,-77.6215461051887,0
"1773","mat",163.337942317714,-77.6137711976167,0
"1774","mat",163.267152483265,-77.6012865429891,0
"1775","mat",163.242715515375,-77.6239692099955,0
"1776","mat",163.271135206472,-77.6068931399907,0
"1777","mat",163.308064795954,-77.6083257521208,0
"1778","mat",163.006413929409,-77.6075440334524,0
"1779","mat",163.015276572705,-77.6366825716849,0
"1780","mat",163.347875156823,-77.6228765451436,0
"1781","mat",163.108705569847,-77.6251748625688,0
"1782","mat",163.272541170878,-77.641685611604,0
"1783","mat",163.035424745345,-77.6041165502085,0
"1784","mat",163.057841951889,-77.6539893464372,0
"1785","mat",163.099002729268,-77.6353457103265,0
"1786","mat",163.132432768188,-77.6406944110087,0
"1787","mat",163.174467194392,-77.6295467494775,0
"1788","mat",163.225162066548,-77.6444873501608,0
"1789","mat",163.183300142487,-77.6194815347447,0
"1790","mat",163.128271114684,-77.6270861662821,0
"1791","mat",163.191017602015,-77.5960746394435,0
"1792","mat",163.176025579663,-77.6392177612563,0
"1793","mat",163.171851199449,-77.5875631026248,0
"1794","mat",163.281023853944,-77.6368593852763,0
"1795","mat",163.217370611282,-77.5995568218631,0
"1796","mat",163.240586502875,-77.5941764772679,0
"1797","mat",163.333095198085,-77.6264081045661,0
"1798","mat",163.346471208841,-77.6280196164417,0
"1799","mat",163.254500247082,-77.6358992661343,0
"1800","mat",163.076184861987,-77.5994170263657,0
"1801","mat",163.196154158661,-77.6193207153858,0
"1802","mat",163.241335203561,-77.5984704828523,0
"1803","mat",163.169235686191,-77.6311413707658,0
"1804","mat",163.311792711597,-77.6003766387031,0
"1805","mat",163.342810346753,-77.5983738272616,0
"1806","mat",163.229981272288,-77.6220703067273,0
"1807","mat",163.204702221591,-77.6337125004388,0
"1808","mat",163.215666184059,-77.5920178169172,0
"1809","mat",163.298929766699,-77.6238823669185,0
"1810","mat",163.167975407546,-77.6263603232389,0
"1811","mat",163.023163782109,-77.6453871461147,0
"1812","mat",163.030098157072,-77.6483306868204,0
"1813","mat",163.214416881083,-77.6228736576199,0
"1814","mat",163.236578727154,-77.6179177933917,0
"1815","mat",163.078813134034,-77.6129969107306,0
"1816","mat",163.228638479953,-77.6233341267725,0
"1817","mat",163.215674548973,-77.6459621319782,0
"1818","mat",163.058377100776,-77.623592730392,0
"1819","mat",163.328523013216,-77.6232508798954,0
"1820","mat",163.156554769107,-77.6510048163024,0
"1821","mat",163.26511647854,-77.6069211205359,0
"1822","mat",163.164073890991,-77.6282286589074,0
"1823","mat",163.205694237048,-77.5829433424842,0
"1824","mat",163.059670241566,-77.6118840753256,0
"1825","mat",163.160980574747,-77.5930249437978,0
"1826","mat",163.281054409024,-77.6291726825889,0
"1827","mat",163.288636420053,-77.6156855218106,0
"1828","mat",163.197772027337,-77.632869506998,0
"1829","mat",163.277370598049,-77.5993871069061,0
"1830","mat",163.07115075485,-77.5995067243653,0
"1831","mat",163.196817292467,-77.6331182537548,0
"1832","mat",163.245242004215,-77.6247962262903,0
"1833","mat",163.33329237053,-77.6313336254338,0
"1834","mat",163.274533726576,-77.6388113502605,0
"1835","mat",163.176853373015,-77.63760707031,0
"1836","mat",163.189912444103,-77.5895461184973,0
"1837","mat",163.177812785714,-77.5887602014823,0
"1838","mat",163.192647411838,-77.6235635254997,0
"1839","mat",163.079608974688,-77.6203653565807,0
"1840","mat",163.081279600217,-77.6208478575693,0
"1841","mat",163.113204973501,-77.6428346169481,0
