"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"110","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Average_GCW","rand1",0.776917
"111","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Elevation","rand1",0.071058
"112","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Slope","rand1",0.096402
"113","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Aspect","rand2",0.179346
"114","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Average_GCW","rand2",0.753321
"115","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Elevation","rand2",0.07126
"116","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Slope","rand2",0.092539
"117","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Aspect","rand3",0.181712
"118","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Average_GCW","rand3",0.748448
"119","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Elevation","rand3",0.0701850000000001
"120","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Slope","rand3",0.096836
"121","AllData_RUN2_GLM","GLM","RUN2","AllData","Aspect","rand1",0.17669
"122","AllData_RUN2_GLM","GLM","RUN2","AllData","Average_GCW","rand1",0.566425
"123","AllData_RUN2_GLM","GLM","RUN2","AllData","Elevation","rand1",0.090874
"124","AllData_RUN2_GLM","GLM","RUN2","AllData","Slope","rand1",0.181822
"125","AllData_RUN2_GLM","GLM","RUN2","AllData","Aspect","rand2",0.178558
"126","AllData_RUN2_GLM","GLM","RUN2","AllData","Average_GCW","rand2",0.562179
"127","AllData_RUN2_GLM","GLM","RUN2","AllData","Elevation","rand2",0.090982
"128","AllData_RUN2_GLM","GLM","RUN2","AllData","Slope","rand2",0.183521
"129","AllData_RUN2_GLM","GLM","RUN2","AllData","Aspect","rand3",0.174641
"130","AllData_RUN2_GLM","GLM","RUN2","AllData","Average_GCW","rand3",0.583748
"131","AllData_RUN2_GLM","GLM","RUN2","AllData","Elevation","rand3",0.090969
"132","AllData_RUN2_GLM","GLM","RUN2","AllData","Slope","rand3",0.181067
"133","AllData_RUN2_GBM","GBM","RUN2","AllData","Aspect","rand1",0.211293
"134","AllData_RUN2_GBM","GBM","RUN2","AllData","Average_GCW","rand1",0.698357
"135","AllData_RUN2_GBM","GBM","RUN2","AllData","Elevation","rand1",0.048613
"136","AllData_RUN2_GBM","GBM","RUN2","AllData","Slope","rand1",0.135689
"137","AllData_RUN2_GBM","GBM","RUN2","AllData","Aspect","rand2",0.218679
"138","AllData_RUN2_GBM","GBM","RUN2","AllData","Average_GCW","rand2",0.696514
"139","AllData_RUN2_GBM","GBM","RUN2","AllData","Elevation","rand2",0.0477300000000001
"140","AllData_RUN2_GBM","GBM","RUN2","AllData","Slope","rand2",0.14015
"141","AllData_RUN2_GBM","GBM","RUN2","AllData","Aspect","rand3",0.214242
"142","AllData_RUN2_GBM","GBM","RUN2","AllData","Average_GCW","rand3",0.705379
"143","AllData_RUN2_GBM","GBM","RUN2","AllData","Elevation","rand3",0.047356
"144","AllData_RUN2_GBM","GBM","RUN2","AllData","Slope","rand3",0.137625
"145","AllData_RUN2_GAM","GAM","RUN2","AllData","Aspect","rand1",0.178379
"146","AllData_RUN2_GAM","GAM","RUN2","AllData","Average_GCW","rand1",0.658786
"147","AllData_RUN2_GAM","GAM","RUN2","AllData","Elevation","rand1",0.105626
"148","AllData_RUN2_GAM","GAM","RUN2","AllData","Slope","rand1",0.157608
"149","AllData_RUN2_GAM","GAM","RUN2","AllData","Aspect","rand2",0.177162
"150","AllData_RUN2_GAM","GAM","RUN2","AllData","Average_GCW","rand2",0.667791
"151","AllData_RUN2_GAM","GAM","RUN2","AllData","Elevation","rand2",0.106163
"152","AllData_RUN2_GAM","GAM","RUN2","AllData","Slope","rand2",0.162809
"153","AllData_RUN2_GAM","GAM","RUN2","AllData","Aspect","rand3",0.179874
"154","AllData_RUN2_GAM","GAM","RUN2","AllData","Average_GCW","rand3",0.665606
"155","AllData_RUN2_GAM","GAM","RUN2","AllData","Elevation","rand3",0.109188
"156","AllData_RUN2_GAM","GAM","RUN2","AllData","Slope","rand3",0.165549
"157","AllData_RUN2_CTA","CTA","RUN2","AllData","Aspect","rand1",0.345433
"158","AllData_RUN2_CTA","CTA","RUN2","AllData","Average_GCW","rand1",0.790715
"159","AllData_RUN2_CTA","CTA","RUN2","AllData","Elevation","rand1",0.139931
"160","AllData_RUN2_CTA","CTA","RUN2","AllData","Slope","rand1",0.272151
"161","AllData_RUN2_CTA","CTA","RUN2","AllData","Aspect","rand2",0.342566
"162","AllData_RUN2_CTA","CTA","RUN2","AllData","Average_GCW","rand2",0.784158
"163","AllData_RUN2_CTA","CTA","RUN2","AllData","Elevation","rand2",0.141195
"164","AllData_RUN2_CTA","CTA","RUN2","AllData","Slope","rand2",0.270587
"165","AllData_RUN2_CTA","CTA","RUN2","AllData","Aspect","rand3",0.326209
"166","AllData_RUN2_CTA","CTA","RUN2","AllData","Average_GCW","rand3",0.783801
"167","AllData_RUN2_CTA","CTA","RUN2","AllData","Elevation","rand3",0.140831
"168","AllData_RUN2_CTA","CTA","RUN2","AllData","Slope","rand3",0.277386
"169","AllData_RUN2_ANN","ANN","RUN2","AllData","Aspect","rand1",0.487963
"170","AllData_RUN2_ANN","ANN","RUN2","AllData","Average_GCW","rand1",0.507616
"171","AllData_RUN2_ANN","ANN","RUN2","AllData","Elevation","rand1",0.269983
"172","AllData_RUN2_ANN","ANN","RUN2","AllData","Slope","rand1",0.177327
"173","AllData_RUN2_ANN","ANN","RUN2","AllData","Aspect","rand2",0.483845
"174","AllData_RUN2_ANN","ANN","RUN2","AllData","Average_GCW","rand2",0.511859
"175","AllData_RUN2_ANN","ANN","RUN2","AllData","Elevation","rand2",0.269744
"176","AllData_RUN2_ANN","ANN","RUN2","AllData","Slope","rand2",0.16728
"177","AllData_RUN2_ANN","ANN","RUN2","AllData","Aspect","rand3",0.476178
"178","AllData_RUN2_ANN","ANN","RUN2","AllData","Average_GCW","rand3",0.511335
"179","AllData_RUN2_ANN","ANN","RUN2","AllData","Elevation","rand3",0.274248
"180","AllData_RUN2_ANN","ANN","RUN2","AllData","Slope","rand3",0.172622
"181","AllData_RUN2_SRE","SRE","RUN2","AllData","Aspect","rand1",0.476754
"182","AllData_RUN2_SRE","SRE","RUN2","AllData","Average_GCW","rand1",0.066758
"183","AllData_RUN2_SRE","SRE","RUN2","AllData","Elevation","rand1",0.319952
