"","SD","species","long_degrees","lat_degrees","presence"
"277",8,"mat",163.3059025,-77.61728055,1
"278",1000,"mat",163.2794827,-77.58976903,1
"279",45,"mat",163.0294338,-77.63030623,1
"280",134,"mat",163.2049262,-77.64793126,1
"281",439,"mat",163.2013676,-77.65168526,1
"282",561,"mat",163.1987588,-77.65173164,1
"283",368,"mat",163.2640634,-77.62072677,1
"284",542,"mat",163.2029487,-77.64944229,1
"285",47,"mat",163.2218804,-77.63426514,1
"286",784,"mat",163.2072902,-77.64704739,1
"287",939,"mat",163.1895255,-77.6542525,1
"288",687,"mat",163.3361341,-77.6151427,1
"289",497,"mat",163.2201243,-77.61117889,1
"290",738,"mat",163.0411137,-77.61387698,1
"291",112,"mat",163.1150236,-77.62291319,1
"292",372,"mat",163.0345482,-77.61323816,1
"293",523,"mat",163.2090274,-77.62782382,1
"294",569,"mat",163.1628024,-77.65321435,1
"295",578,"mat",163.2162503,-77.64180194,1
"296",708,"mat",163.2056525,-77.65208568,1
"297",429,"mat",163.0345022,-77.61267936,1
"298",394,"mat",163.310325,-77.63469406,1
"299",327,"mat",163.1771099,-77.64207798,1
"300",910,"mat",163.0421975,-77.61516548,1
"301",3,"mat",163.1886446,-77.62431467,1
"302",371,"mat",163.1289728,-77.64032441,1
"303",705,"mat",163.2862907,-77.62617827,1
"304",901,"mat",163.180028,-77.58812174,1
"305",493,"mat",163.2761263,-77.61277449,1
"306",355,"mat",163.2100287,-77.64497395,1
"307",320,"mat",163.1286399,-77.63843918,1
"308",254,"mat",163.2170258,-77.61112285,1
"309",900,"mat",163.2964727,-77.61271353,1
"310",680,"mat",163.1500754,-77.6462457,1
"311",886,"mat",163.2053165,-77.64859336,1
"312",534,"mat",163.3361067,-77.59344535,1
"313",535,"mat",163.128048,-77.62278983,1
"314",379,"mat",163.247971,-77.63257505,1
"315",752,"mat",163.2139521,-77.63660638,1
"316",136,"mat",163.0994927,-77.59813618,1
"317",533,"mat",163.2086357,-77.58820592,1
"318",472,"mat",163.257233,-77.60783103,1
"319",104,"mat",163.2261797,-77.59148157,1
"320",77,"mat",163.2044374,-77.64454443,1
"321",402,"mat",163.2269513,-77.63441712,1
"322",231,"mat",163.0992156,-77.60054792,1
"323",175,"mat",163.2773865,-77.62517189,1
"324",361,"mat",163.2082709,-77.64536604,1
"325",486,"mat",163.2029196,-77.65083994,1
"326",800,"mat",163.26572,-77.62099861,1
"327",576,"mat",163.2437201,-77.64562646,1
"328",671,"mat",163.2490933,-77.58487894,1
"329",456,"mat",163.0501996,-77.61349281,1
"330",260,"mat",163.2060227,-77.65253824,1
"331",40,"mat",163.139834,-77.644926,1
"332",962,"mat",163.1167603,-77.60030194,1
"333",117,"mat",163.208888,-77.64330197,1
"334",119,"mat",163.2681751,-77.59852163,1
"335",851,"mat",163.193448,-77.65255841,1
"336",919,"mat",163.1632188,-77.64538659,1
"337",758,"mat",163.2049605,-77.65338143,1
"338",956,"mat",163.2027877,-77.62565027,1
"339",795,"mat",163.1799374,-77.63570715,1
"340",122,"mat",163.2006409,-77.65091982,1
"341",793,"mat",163.2090581,-77.63152711,1
"342",145,"mat",163.3381,-77.59843193,1
"343",236,"mat",163.2213919,-77.63929842,1
"344",479,"mat",163.208562,-77.6466924,1
"345",54,"mat",163.0112108,-77.61053077,1
"346",337,"mat",163.0329292,-77.6133491,1
"347",792,"mat",163.0310986,-77.61286692,1
"348",404,"mat",163.2051896,-77.65236722,1
"349",323,"mat",163.252895,-77.6312598,1
"350",204,"mat",163.1978494,-77.65246931,1
"351",669,"mat",163.0928597,-77.59666058,1
"352",875,"mat",163.1021423,-77.60053611,1
"353",164,"mat",163.1962501,-77.65282568,1
