"","SD","species","long_degrees","lat_degrees","presence"
"242",9298,"mat",163.2748277,-77.63688834,0
"243",7848,"mat",163.0607699,-77.61526862,0
"244",7567,"mat",163.1810573,-77.64586917,0
"245",4574,"mat",163.2482582,-77.6289052,0
"246",6922,"mat",163.1867108,-77.62282075,0
"247",2417,"mat",163.0594414,-77.64200002,0
"248",9793,"mat",163.2584392,-77.64101714,0
"249",8472,"mat",163.3376457,-77.62628104,0
"250",8794,"mat",163.2378023,-77.62206991,0
"251",9557,"mat",163.0448635,-77.61001968,0
"252",7343,"mat",163.1298402,-77.59200292,0
"253",2622,"mat",163.2867385,-77.61464631,0
"254",1898,"mat",163.1844675,-77.63013247,0
"255",2200,"mat",163.2020789,-77.59441894,0
"256",7417,"mat",163.167687,-77.58646299,0
"257",5916,"mat",163.087918,-77.6335384,0
"258",4197,"mat",163.1791101,-77.64772927,0
"259",3117,"mat",163.0734054,-77.60686943,0
"260",3398,"mat",163.051769,-77.60695371,0
"261",8243,"mat",163.2713692,-77.62851914,0
"262",6964,"mat",163.0895468,-77.6222474,0
"263",9790,"mat",163.2408152,-77.60968806,0
"264",10494,"mat",163.160319,-77.64756502,0
"265",9901,"mat",163.1025228,-77.6475594,0
"266",3589,"mat",163.0572252,-77.63313478,0
"267",9258,"mat",163.2353237,-77.61509347,0
"268",2499,"mat",163.3062178,-77.61874649,0
"269",8902,"mat",163.2608672,-77.61647904,0
"270",7044,"mat",163.2049605,-77.61942175,0
"271",4391,"mat",163.1535545,-77.64857186,0
"272",8639,"mat",163.2029168,-77.6355022,0
"273",8301,"mat",163.2510544,-77.61606998,0
"274",10308,"mat",163.0118049,-77.60577731,0
"275",6429,"mat",163.0103832,-77.61035915,0
"276",1529,"mat",163.3222713,-77.5901936,0
"277",8376,"mat",163.221233,-77.61253652,0
"278",1524,"mat",163.2685126,-77.61315938,0
"279",6617,"mat",163.2936356,-77.62153164,0
"280",1958,"mat",163.0418815,-77.63099272,0
"281",5534,"mat",163.2402151,-77.58215939,0
"282",4597,"mat",163.1046363,-77.60485817,0
"283",8389,"mat",163.158328,-77.63485624,0
"284",6430,"mat",163.1537628,-77.59054012,0
"285",8952,"mat",163.2413508,-77.59368386,0
"286",10180,"mat",163.1407675,-77.63545414,0
"287",6115,"mat",163.0860117,-77.59644339,0
"288",2431,"mat",163.259025,-77.64359991,0
"289",8284,"mat",163.0713482,-77.64384021,0
"290",9066,"mat",163.2070573,-77.61581388,0
