"","SD","species","long_degrees","lat_degrees","presence"
"171",2095,"mat",163.1223612,-77.59744905,0
"172",10871,"mat",163.1698232,-77.59546768,0
"173",9194,"mat",163.0913294,-77.63900986,0
"174",4359,"mat",163.2665737,-77.61330814,0
"175",1109,"mat",163.236162,-77.5971314,0
"176",10222,"mat",163.2008216,-77.63065504,0
"177",7522,"mat",163.0543193,-77.64512913,0
"178",2340,"mat",163.1826882,-77.62336227,0
"179",1743,"mat",163.0838325,-77.65042898,0
"180",5071,"mat",163.1610375,-77.59892911,0
"181",8896,"mat",163.0059198,-77.64611486,0
"182",3774,"mat",163.1984392,-77.63985416,0
"183",5559,"mat",163.1914918,-77.64229522,0
"184",1013,"mat",163.0347686,-77.63370982,0
"185",7840,"mat",163.1587533,-77.64652353,0
"186",7748,"mat",163.0094455,-77.63516699,0
"187",3564,"mat",163.2817751,-77.63144033,0
"188",9124,"mat",163.178502,-77.62911013,0
"189",4997,"mat",163.2557912,-77.6276129,0
"190",3396,"mat",163.2094884,-77.63260829,0
"191",5604,"mat",163.077113,-77.62355443,0
"192",10525,"mat",163.0802531,-77.62406608,0
"193",1168,"mat",163.1097431,-77.62953775,0
"194",7106,"mat",163.0476122,-77.62932882,0
"195",3383,"mat",163.3245291,-77.60083915,0
"196",7269,"mat",163.0275949,-77.60386668,0
"197",4459,"mat",163.3240925,-77.59514615,0
"198",3655,"mat",163.0287776,-77.64417827,0
"199",6770,"mat",163.3139773,-77.6135033,0
"200",7590,"mat",163.1254217,-77.64439173,0
"201",1427,"mat",163.0904602,-77.64027104,0
"202",7416,"mat",163.2591201,-77.62504706,0
"203",2123,"mat",163.3035151,-77.61938831,0
"204",2545,"mat",163.0743572,-77.62562653,0
"205",1263,"mat",163.0754103,-77.63792001,0
"206",4302,"mat",163.1392925,-77.63717221,0
"207",1588,"mat",163.0211951,-77.64927238,0
"208",9346,"mat",163.3170418,-77.63186663,0
"209",5884,"mat",163.0361185,-77.60463796,0
"210",7726,"mat",163.2776412,-77.62447192,0
"211",5190,"mat",163.192997,-77.62038266,0
"212",5692,"mat",163.2122165,-77.62539897,0
"213",8628,"mat",163.1429336,-77.653857,0
"214",4964,"mat",163.1973987,-77.6289581,0
"215",3866,"mat",163.0599492,-77.64800709,0
