OID_,pointid,grid_code,longitude,lattitude
86,523436,1,163.072283099999993,-77.614699590000001
87,523437,1,163.072445880000004,-77.614698950000005
88,524024,1,163.071960520000005,-77.614735789999997
89,524025,1,163.072123299999987,-77.614735150000001
90,524026,1,163.072286079999998,-77.614734510000005
91,524616,1,163.071149590000005,-77.614773909999997
92,524622,1,163.072126279999992,-77.614770080000000
93,524623,1,163.072289060000003,-77.614769440000003
94,524624,1,163.072451840000014,-77.614768799999993
95,525229,1,163.072129259999997,-77.614805000000004
96,525823,1,163.070992759999996,-77.614844399999996
97,525824,1,163.071155540000007,-77.614843759999999
98,525835,1,163.072946150000007,-77.614836729999993
99,526419,1,163.070670180000008,-77.614880600000006
100,526420,1,163.070832959999990,-77.614879970000004
101,526421,1,163.070995740000001,-77.614879329999994
102,526422,1,163.071158520000012,-77.614878689999998
103,526426,1,163.071809650000006,-77.614876129999999
104,527036,1,163.070673150000005,-77.614915530000005
105,527037,1,163.070835929999987,-77.614914889999994
106,527038,1,163.070998720000006,-77.614914249999998
107,527049,1,163.072789330000006,-77.614907220000006
108,527668,1,163.070676130000010,-77.614950449999995
109,527675,1,163.071815609999987,-77.614945980000002
110,527676,1,163.071978389999998,-77.614945340000006
111,527677,1,163.072141179999988,-77.614944699999995
112,528186,1,163.041052170000000,-77.615099979999997
113,528290,1,163.070679100000007,-77.614985379999993
114,528297,1,163.071818589999992,-77.614980910000000
115,528298,1,163.071981370000003,-77.614980270000004
116,528299,1,163.072144159999993,-77.614979629999993
117,528300,1,163.072306940000004,-77.614978989999997
118,528812,1,163.041055069999999,-77.615134900000001
119,528930,1,163.071170429999995,-77.615018390000003
120,528934,1,163.071821569999997,-77.615015830000004
121,528935,1,163.071984350000008,-77.615015189999994
122,528936,1,163.072147139999998,-77.615014549999998
123,528937,1,163.072309920000009,-77.615013910000002
124,529451,1,163.040895169999999,-77.615170449999994
125,529452,1,163.041057959999989,-77.615169829999999
126,529566,1,163.071824550000002,-77.615050749999995
127,529567,1,163.071987330000013,-77.615050120000006
128,530065,1,163.041060850000008,-77.615204750000004
129,530706,1,163.040900959999988,-77.615240299999996
130,530707,1,163.041063750000006,-77.615239680000002
131,530823,1,163.071667719999994,-77.615121239999993
132,530824,1,163.071830510000012,-77.615120599999997
133,530825,1,163.071993289999995,-77.615119969999995
134,531338,1,163.040741059999988,-77.615275839999995
135,531339,1,163.040903850000007,-77.615275220000001
136,531340,1,163.041066639999997,-77.615274600000006
137,531457,1,163.071833489999989,-77.615155529999996
138,531458,1,163.071996270000000,-77.615154889999999
139,531459,1,163.072159059999990,-77.615154250000003
140,531964,1,163.040743950000007,-77.615310769999994
141,531965,1,163.040906739999997,-77.615310149999999
142,532084,1,163.071999250000005,-77.615189810000004
143,532085,1,163.072162039999995,-77.615189180000002
144,532090,1,163.072975969999987,-77.615185980000007
145,532583,1,163.040909639999995,-77.615345070000004
146,532707,1,163.071676660000008,-77.615226019999994
147,532823,1,163.239663479999990,-77.614514779999993
148,533214,1,163.040912530000014,-77.615380000000002
149,533339,1,163.071679640000013,-77.615260939999999
150,533340,1,163.071842430000004,-77.615260300000003
151,533346,1,163.072819149999987,-77.615256470000006
