layer,longitude,lattitude
TRUE,162.996729128254,-77.6078845564999
TRUE,163.320284128254,-77.6080241564999
TRUE,163.161522128254,-77.6081637564999
TRUE,163.238458128254,-77.6083033564999
TRUE,163.167064128254,-77.6086523564999
TRUE,162.993958128254,-77.6087570564999
TRUE,163.190862128254,-77.6090362564999
TRUE,163.000804128254,-77.6090711564999
TRUE,163.185972128254,-77.6091758564999
TRUE,163.096485128254,-77.6092107564999
TRUE,163.234709128254,-77.6093154564999
TRUE,163.201131128254,-77.6093852564999
TRUE,163.004716128254,-77.6099436564999
TRUE,163.254106128254,-77.6100134564999
TRUE,162.999663128254,-77.6101181564999
TRUE,163.215312128254,-77.6103624564999
TRUE,163.010747128254,-77.6103973564999
TRUE,163.201457128254,-77.6106067564999
TRUE,163.094366128254,-77.6108510564999
TRUE,163.229656128254,-77.6110604564999
TRUE,163.005205128254,-77.6114443564999
TRUE,163.015474128254,-77.6115490564999
TRUE,163.196730128254,-77.6116188564999
TRUE,163.288173128254,-77.6116537564999
TRUE,163.093225128254,-77.6117584564999
TRUE,163.151905128254,-77.6117933564999
TRUE,163.232753128254,-77.6121423564999
TRUE,163.206184128254,-77.6122121564999
TRUE,163.189721128254,-77.6122470564999
TRUE,163.025580128254,-77.6123168564999
TRUE,163.199338128254,-77.6124564564999
TRUE,163.016778128254,-77.6124913564999
TRUE,163.088661128254,-77.6124913564999
TRUE,163.157610128254,-77.6126658564999
TRUE,163.167227128254,-77.6127705564999
TRUE,163.029329128254,-77.6128403564999
TRUE,163.040087128254,-77.6131195564999
TRUE,163.047748128254,-77.6131544564999
TRUE,163.202109128254,-77.6132242564999
TRUE,163.193144128254,-77.6133289564999
TRUE,163.033893128254,-77.6133638564999
TRUE,163.052638128254,-77.6133987564999
TRUE,163.176681128254,-77.6135383564999
TRUE,163.198197128254,-77.6135732564999
TRUE,163.257529128254,-77.6137128564999
TRUE,163.043021128254,-77.6139571564999
TRUE,163.080348128254,-77.6140967564999
TRUE,163.183201128254,-77.6141316564999
TRUE,163.268613128254,-77.6141316564999
TRUE,163.206836128254,-77.6142014564999
TRUE,163.058180128254,-77.6142363564999
TRUE,163.239599128254,-77.6145504564999
TRUE,163.037316128254,-77.6146202564999
TRUE,163.073339128254,-77.6146202564999
TRUE,163.195589128254,-77.6146551564999
TRUE,163.200642128254,-77.6146551564999
TRUE,163.263886128254,-77.6147598564999
TRUE,163.061929128254,-77.6147947564999
TRUE,163.175377128254,-77.6151088564999
TRUE,163.336095128254,-77.6151437564999
TRUE,163.040576128254,-77.6152484564999
TRUE,163.136257128254,-77.6153531564999
TRUE,163.069916128254,-77.6153880564999
TRUE,163.150764128254,-77.6156323564999
TRUE,163.184994128254,-77.6156323564999
TRUE,163.179941128254,-77.6159115564999
TRUE,163.167390128254,-77.6159813564999
TRUE,163.194937128254,-77.6160162564999
TRUE,163.041880128254,-77.6162256564999
TRUE,163.271058128254,-77.6162256564999
TRUE,163.334139128254,-77.6163652564999
TRUE,163.199338128254,-77.6164699564999
TRUE,163.082956128254,-77.6165048564999
TRUE,163.087683128254,-77.6165397564999
TRUE,163.191351128254,-77.6167142564999
TRUE,163.095833128254,-77.6168887564999
TRUE,163.142451128254,-77.6168887564999
TRUE,163.061929128254,-77.6169236564999
TRUE,163.180267128254,-77.6172028564999
TRUE,163.334791128254,-77.6172726564999
TRUE,163.043021128254,-77.6173075564999
TRUE,163.132345128254,-77.6173075564999
TRUE,163.150601128254,-77.6173075564999
TRUE,163.158262128254,-77.6174122564999
TRUE,163.074480128254,-77.6174471564999
TRUE,163.101701128254,-77.6174471564999
TRUE,163.048563128254,-77.6175169564999
TRUE,163.253291128254,-77.6175169564999
TRUE,163.079533128254,-77.6177263564999
TRUE,163.154187128254,-77.6178310564999
TRUE,163.094040128254,-77.6179357564999
TRUE,163.329901128254,-77.6180404564999
TRUE,163.128270128254,-77.6181451564999
TRUE,163.255736128254,-77.6182498564999
TRUE,163.050356128254,-77.6184941564999
TRUE,163.136583128254,-77.6186686564999
TRUE,163.106428128254,-77.6188431564999
TRUE,163.282142128254,-77.6188780564999
TRUE,163.150438128254,-77.6189827564999
TRUE,163.256714128254,-77.6192619564999
TRUE,163.313438128254,-77.6193666564999
TRUE,163.083445128254,-77.6197505564999
TRUE,163.283935128254,-77.6198901564999
TRUE,163.293715128254,-77.6198901564999
TRUE,163.260300128254,-77.6199250564999
TRUE,163.057528128254,-77.6200297564999
TRUE,163.150112128254,-77.6201693564999
TRUE,163.071220128254,-77.6202042564999
TRUE,163.087194128254,-77.6202391564999
TRUE,163.113437128254,-77.6204485564999
TRUE,163.264864128254,-77.6208673564999
TRUE,163.295834128254,-77.6209371564999
TRUE,163.109199128254,-77.6211116564999
TRUE,163.118164128254,-77.6216002564999
TRUE,163.122891128254,-77.6216700564999
TRUE,163.287521128254,-77.6217398564999
TRUE,163.102027128254,-77.6218445564999
TRUE,163.206999128254,-77.6218445564999
TRUE,163.271547128254,-77.6220539564999
TRUE,163.069264128254,-77.6223331564999
TRUE,163.222158128254,-77.6223680564999
TRUE,163.064700128254,-77.6225774564999
TRUE,163.278393128254,-77.6227519564999
TRUE,163.128107128254,-77.6227868564999
TRUE,163.115556128254,-77.6228915564999
TRUE,163.122076128254,-77.6228915564999
TRUE,163.300398128254,-77.6228915564999
TRUE,163.060788128254,-77.6229962564999
TRUE,163.266168128254,-77.6231358564999
TRUE,163.055898128254,-77.6234499564999
TRUE,163.185646128254,-77.6235197564999
TRUE,163.110666128254,-77.6235546564999
TRUE,163.273340128254,-77.6239734564999
TRUE,163.188417128254,-77.6242526564999
TRUE,163.052638128254,-77.6243573564999
TRUE,163.284098128254,-77.6243573564999
TRUE,163.246608128254,-77.6247412564999
TRUE,163.277415128254,-77.6251600564999
TRUE,163.288825128254,-77.6251949564999
TRUE,163.049215128254,-77.6252647564999
TRUE,163.283609128254,-77.6258929564999
TRUE,163.203902128254,-77.6260325564999
TRUE,163.270080128254,-77.6267654564999
TRUE,163.287358128254,-77.6267654564999
TRUE,163.263560128254,-77.6268003564999
