layer,longitude,lattitude,presence
TRUE,163.0061831,-77.61071146,1
TRUE,163.1975451,-77.61074636,1
TRUE,163.0943661,-77.61085106,1
TRUE,163.2296561,-77.61106046,1
TRUE,163.2171051,-77.61113026,1
TRUE,163.0052051,-77.61144436,1
TRUE,163.0153111,-77.61151416,1
TRUE,163.1915141,-77.61158396,1
TRUE,163.1967301,-77.61161886,1
TRUE,163.2881731,-77.61165376,1
TRUE,163.0932251,-77.61175846,1
TRUE,163.1519051,-77.61179336,1
TRUE,163.1916771,-77.61186316,1
TRUE,163.0925731,-77.61189806,1
TRUE,163.1986861,-77.61196786,1
TRUE,163.2055321,-77.61210746,1
TRUE,163.1970561,-77.61214236,1
TRUE,163.2327531,-77.61214236,1
TRUE,163.2083031,-77.61217726,1
TRUE,163.2045541,-77.61221216,1
TRUE,163.1897211,-77.61224706,1
TRUE,163.2066731,-77.61224706,1
TRUE,163.0244391,-77.61235176,1
TRUE,163.0255801,-77.61235176,1
TRUE,163.2335681,-77.61238666,1
TRUE,163.0267211,-77.61242156,1
TRUE,163.1993381,-77.61245646,1
TRUE,163.0167781,-77.61249136,1
TRUE,163.0280251,-77.61249136,1
TRUE,163.0886611,-77.61249136,1
TRUE,163.0221571,-77.61252626,1
TRUE,163.0290031,-77.61252626,1
TRUE,163.2079771,-77.61252626,1
TRUE,163.2012941,-77.61256116,1
TRUE,163.0272101,-77.61263096,1
TRUE,163.1973821,-77.61263096,1
TRUE,163.2055321,-77.61263096,1
TRUE,163.0343821,-77.61266586,1
TRUE,163.1576101,-77.61266586,1
TRUE,163.0286771,-77.61270076,1
TRUE,163.0298181,-77.61273566,1
TRUE,163.0324261,-77.61277056,1
TRUE,163.1672271,-77.61277056,1
TRUE,163.2063471,-77.61277056,1
TRUE,163.0276991,-77.61284036,1
TRUE,163.0309591,-77.61287526,1
TRUE,163.2034131,-77.61291016,1
TRUE,163.0286771,-77.61294506,1
TRUE,163.0260691,-77.61297996,1
TRUE,163.0319371,-77.61301486,1
TRUE,163.0358491,-77.61301486,1
TRUE,163.0371531,-77.61301486,1
